date,open,high,low,close,volume
2002-06-28,14.2406,14.4,14.0719,14.1094,253653.0
2002-07-01,14.2312,14.2406,14.0719,14.1281,275797.0
2002-07-02,14.25,14.25,13.7812,13.9781,1999653.0
2002-07-03,14.1562,14.1562,13.8938,13.9875,2355691.0
2002-07-04,14.1,14.1844,14.0531,14.0719,407365.0
2002-07-05,14.2406,14.2406,14.0719,14.1,422389.0
2002-07-08,14.3438,14.3438,13.8938,13.9688,2381472.0
2002-07-09,15.0,15.375,14.4375,14.7094,4606896.0
2002-07-10,14.8125,15.075,14.3906,14.6812,2558987.0
2002-07-11,14.6156,14.9344,14.4375,14.5031,997195.0
2002-07-12,15.0,15.3656,14.6625,14.7375,4110309.0
2002-07-15,14.9062,15.4688,14.6531,15.225,5563056.0
2002-07-16,15.3844,15.5437,14.6344,14.7281,5667728.0
2002-07-17,14.7563,14.7563,14.1094,14.2219,2125205.0
2002-07-18,14.4375,14.4375,14.1187,14.2875,1928757.0
2002-07-19,14.1187,14.3438,14.1187,14.1469,1698384.0
2002-07-22,14.0625,14.1375,13.9688,14.0625,1472453.0
2002-07-23,14.0625,14.0625,13.8938,14.0531,575712.0
2002-07-24,13.9969,14.0625,13.9594,14.0344,1275979.0
2002-07-25,14.0625,14.2312,13.7063,13.9312,2829515.0
2002-07-26,14.625,14.625,13.6594,13.7156,4512219.0
2002-07-29,14.0437,14.25,13.0594,13.4438,1860795.0
2002-07-30,13.7719,13.7719,13.3875,13.6219,1326123.0
2002-07-31,13.2281,13.8562,13.1531,13.725,781989.0
2002-08-01,13.5,13.8094,13.5,13.5562,782245.0
2002-08-02,13.3219,13.8656,13.3219,13.7156,1474405.0
2002-08-05,13.875,13.875,13.6594,13.7812,1363904.0
2002-08-06,13.8375,13.8375,13.6219,13.7437,1216907.0
2002-08-07,13.875,13.875,13.5844,13.6969,1416064.0
2002-08-08,13.6875,13.7625,13.3313,13.3687,544453.0
2002-08-09,13.4062,13.4812,13.3125,13.3969,495365.0
2002-08-12,13.425,13.4906,13.3219,13.3687,210075.0
2002-08-13,13.5,13.5,13.2656,13.3219,320005.0
2002-08-14,13.3781,13.5,13.3125,13.35,719973.0
2002-08-16,13.4812,13.4812,13.2469,13.2844,730528.0
2002-08-19,13.125,13.8656,13.125,13.2094,2855451.0
2002-08-20,13.275,13.6687,13.2563,13.3031,1961712.0
2002-08-21,13.4062,13.4531,13.1719,13.2,953184.0
2002-08-22,13.3313,13.4906,13.1719,13.275,1026528.0
2002-08-23,13.35,13.35,13.05,13.1156,1171179.0
2002-08-26,13.125,13.1344,13.0125,13.0688,903723.0
2002-08-27,13.0781,13.125,12.9844,13.0125,764635.0
2002-08-28,13.0312,13.0781,12.975,12.9937,410491.0
2002-08-29,12.9844,13.0312,12.8813,12.9,524757.0
